name,league,primary,secondary,tertiary,quaternary,division
Murray State Racers,ncaa,#002144,#ECAC00,NA,NA,MVC
N.C. A&T,ncaa,#004684,#FDB927,NA,NA,Big South
N.C. Central,ncaa,#862633,#898D8D,NA,NA,MEAC
Navy,ncaa,#00205B,#C5B783,NA,NA,Patriot
NC State,ncaa,#CC0000,#000000,#FFFFFF,NA,ACC
Nebraska,ncaa,#E41C38,#5F6A72,#000000,NA,Big 10
Nevada,ncaa,#003366,#807F84,NA,NA,MWC
New Hampshire Wildcats,ncaa,#041E42,#BBBCBC,NA,NA,Am. East
New Mexico,ncaa,#BA0C2F,#A7A8AA,#63666A,#007A86,MWC
New Mexico State Aggies,ncaa,#861F41,#97999B,#000000,NA,WAC
New Orleans Privateers,ncaa,#005CA6,#A3A9AD,NA,NA,Southland
Niagara Purple Eagles,ncaa,#582C83,#FFFFFF,NA,NA,MAAC
Nicholls,ncaa,#C41230,#B2B2B2,NA,NA,Southland
NJIT,ncaa,#D22630,#071D49,#C1C6C8,NA,Am. East
Norfolk State Spartans,ncaa,#007A53,#F2A900,NA,NA,MEAC
North Alabama Lions,ncaa,#46166B,#DB9F11,#5F6062,NA,A-Sun
North Carolina,ncaa,#7BAFD4,#FFFFFF,#13294B,#000000,ACC
North Dakota Fighting Hawks,ncaa,#009A44,#FFFFFF,NA,NA,Summit
North Dakota State,ncaa,#0A5640,#FFC72A,NA,NA,Summit
North Florida Ospreys,ncaa,#00246B,#D9D9D9,NA,NA,A-Sun
North Texas Mean Green,ncaa,#00853E,#000000,NA,NA,C-USA
Northeastern Huskies,ncaa,#E50000,#000000,NA,NA,CAA
Northern Arizona Lumberjacks,ncaa,#FFD200,#FBB040,NA,NA,Big Sky
Northern Colorado Bears,ncaa,#F6B000,#F6B000,NA,NA,Big Sky
NIU,ncaa,#BA0C2F,#8A8D8F,#000000,NA,MAC
Northern Kentucky Norse,ncaa,#FFC72C,#000000,NA,NA,Horizon
Northwestern Wildcats,ncaa,#4E2A84,#FFFFFF,NA,NA,Big 10
Northwestern State,ncaa,#492F92,#F78426,NA,NA,Southland
Notre Dame,ncaa,#0C2340,#C99700,#AE9142,#00843D,ACC
Oakland Golden Grizzlies,ncaa,#B59A57,#000000,NA,NA,Horizon
Ohio,ncaa,#00694E,#CDA077,NA,NA,MAC
Ohio State,ncaa,#BB0000,#666666,NA,NA,Big 10
Oklahoma Sooners,ncaa,#841617,#FDF9D8,NA,NA,Big 12
Oklahoma State,ncaa,#FF7300,#000000,#FF9900,#BEBEBE,Big 12
Old Dominion Monarchs[am],ncaa,#003057,#92C1E9,NA,NA,Sunbelt
Ole Miss,ncaa,#CE1126,#14213D,#FFFFFF,NA,SEC
Omaha,ncaa,#000000,#D71920,#636568,NA,Summit
Oral Roberts Golden Eagles,ncaa,#002F60,#C5B783,#A28E2A,NA,Summit
Oregon Ducks,ncaa,#154733,#FEE123,NA,NA,Pac 12
Oregon State Beavers,ncaa,#DC4405,#000000,#FFFFFF,NA,Pac 12
Pacific,ncaa,#E35205,#231F20,#D86018,#949A90,WCC
Penn,ncaa,#990000,#011F5B,NA,NA,Ivy
Penn State,ncaa,#093162,#FFFFFF,NA,NA,Big 10
Pepperdine Waves,ncaa,#00205C,#EE7624,NA,NA,WCC
Pittsburgh Panthers,ncaa,#1C2957,#CDB87D,NA,NA,ACC
Portland Pilots,ncaa,#1E1656,#5E6A71,NA,NA,WCC
Portland State Vikings,ncaa,#154734,#FFFFFF,#373A36,#2C2A29,Big Sky
Prairie View,ncaa,#330066,#FFCC33,NA,NA,SWAC
Presbyterian,ncaa,#0060A9,#9D2235,NA,NA,Big South
Princeton Tigers,ncaa,#FF671F,#000000,NA,NA,Ivy
Providence,ncaa,#000000,#8A8D8F,#FFFFFF,NA,Big East
Purdue Boilermakers,ncaa,#CEB888,#000000,#9D968D,#373A36,Big 10
Purdue Fort Wayne Mastodons,ncaa,#002F6C,#000000,#63666A,#97999B,Horizon
Quinnipiac Bobcats,ncaa,#0A2240,#FFB819,NA,NA,MAAC
Radford Highlanders,ncaa,#C2011B,#808285,NA,NA,Big South
Rhode Island Rams,ncaa,#68ABE8,#002147,NA,NA,A-10
Rice,ncaa,#00205B,#C1C6C8,NA,NA,C-USA
Richmond Spiders,ncaa,#000066,#990000,NA,NA,A-10
Rider Broncs,ncaa,#981E32,#6C6F70,NA,NA,MAAC
Robert Morris Colonials,ncaa,#14234B,#A6192E,NA,NA,Horizon
Rutgers,ncaa,#CC0033,#5F6A72,#000000,NA,Big 10
Sacramento State,ncaa,#043927,#C4B581,NA,NA,Big Sky
Sacred Heart Pioneers,ncaa,#CD1041,#FFFFFF,NA,NA,NEC
Saint Francis (PA),ncaa,#BD1F25,#FFFFFF,NA,NA,NEC
Saint Joseph's Hawks,ncaa,#9E1B32,#6C6F70,NA,NA,A-10
Saint Louis Billikens,ncaa,#003DA5,#C8C9C7,NA,NA,A-10
Saint Mary's (CA),ncaa,#D80024,#06315B,NA,NA,WCC
